question,answer,image_id
What can you determine about this disease?,Melanose_disease,M67
What does the image suggest about the disease?,BlackSpot_disease,BlackSpot95
Which disease matches these observed features?,Canker_disease,canker96
What's your inference about this disease's presence?,Canker_disease,canker97
What's your understanding of this disease's type?,BlackSpot_disease,BlackSpot96
What disease aligns with these characteristics?,Canker_disease,canker98
What can you conclude about the disease?,Greening_disease,Greening87
What's your interpretation of this disease image?,HealthyLeaf,H78
What's the likely disease causing this appearance?,Melanose_disease,M68
What's the disease indicated by this image?,BlackSpot_disease,BlackSpot97
What's your inference regarding this disease?,Canker_disease,canker99
What disease could be responsible for this?,Greening_disease,Greening88
What conclusions can you make about this disease?,HealthyLeaf,H79
What disease aligns with these visible signs?,Melanose_disease,M69
What can you deduce about this disease's type?,BlackSpot_disease,BlackSpot98
Which disease can be inferred from this image?,Canker_disease,canker100
What's your assessment of the disease's impact?,Greening_disease,Greening89
What disease matches these visual cues?,HealthyLeaf,H80
What's your understanding of this disease?,BlackSpot_disease,BlackSpot99
What disease might these symptoms suggest?,Canker_disease,canker101
What can you infer about this disease from the image?,Greening_disease,Greening90
What's the likely disease behind these visuals?,HealthyLeaf,H81
What's your interpretation of this disease's signs?,HealthyLeaf,H82
What disease could be causing this appearance?,Melanose_disease,M70
What does this image convey about the disease's nature?,BlackSpot_disease,BlackSpot100
What's your inference about this disease's identity?,Canker_disease,canker102
What disease is indicated by these characteristics?,Greening_disease,Greening91
What conclusions can you draw from this image?,HealthyLeaf,H83
Which disease corresponds to this image's features?,BlackSpot_disease,BlackSpot101
is there any disease affecting the leaf's appearance?a,Yes_Canker_disease,canker103
What disease aligns with these visible features?,Greening_disease,Greening92
What's your assessment of this disease's influence?,HealthyLeaf,H84
What disease might be responsible for this?,Melanose_disease,M71
What can you deduce about this disease from the visual?,BlackSpot_disease,BlackSpot102
Is there any sign that this leaf has been attacked by disease?,Yes_Canker_disease,canker104
Could this leaf's abnormality be a result of disease?,Yes_Greening_disease,Greening93
Can you confirm if this leaf is affected by a disease?,No_HealthyLeaf,H85
Is there any evidence of infection or disease on this leaf?,Yes_Melanose_disease,M72
Could you determine if a disease is responsible for this leaf's state?,Yes_BlackSpot_disease,BlackSpot103
"Is this leaf showing signs of disease or damage, in your opinion?",Yes_Canker_disease,canker105
Can you tell if a disease is affecting this leaf's health?,Yes_Greening_disease,Greening94
Is there any possibility of a disease impacting this leaf?,No_HealthyLeaf,H86
Could this leaf's odd appearance be due to disease?,Yes_Melanose_disease,M73
Can you find out if this leaf's state is due to disease?,Yes_BlackSpot_disease,BlackSpot104
"Is this leaf possibly dealing with disease, according to you?",Yes_Canker_disease,canker106
Can you see any signs of disease or trouble on this leaf?,Yes_Greening_disease,Greening95
"Could this leaf's condition be due to disease, as per your view?",No_HealthyLeaf,H87
Is there any hint of disease affecting this leaf's appearance?,Yes_Melanose_disease,M74
Can you identify if this leaf is not well due to a disease?,Canker_disease,canker107
Is the leaf showing any signs of distress due to a disease?,Yes_BlackSpot_disease,BlackSpot105
What disease is apparent in this image of the citrus leaf?,Canker_disease,canker108
What implications can be drawn from the visuals regarding the disease?,Greening_disease,Greening96
whether the leaf symptoms belong to a healthy leaf or Greening disease?,HealthyLeaf,H88
What can you deduce about this disease by examining the image?,BlackSpot_disease,BlackSpot106
Can you spot any symptoms of a disease impacting this leaf?,Yes_Canker_disease,canker109
Is this leaf showing any signs of illness due to a disease?,Yes_Canker_disease,canker110
Can you determine if this leaf is facing any disease-related issues?,Yes_Greening_disease,Greening97
Is there any suggestion of a disease affecting this leaf's health?,No_HealthyLeaf,H89
Is this leaf's condition likely due to the presence of disease?,Yes_BlackSpot_disease,BlackSpot107
Can you see if this leaf might be unwell due to some disease?,Yes_Canker_disease,canker111
Is this leaf potentially dealing with disease-related changes?,Yes_Greening_disease,Greening98
Could this leaf's altered appearance be because of a disease?,No_HealthyLeaf,H90
Is the leaf displaying any indications of distress due to disease?,Yes_BlackSpot_disease,BlackSpot108
Could this leaf's abnormal look be attributed to a disease?,Yes_Canker_disease,canker112
Can you confirm if this leaf is affected by disease or not?,Yes_BlackSpot_disease,BlackSpot109
Is there any sign of an infection or disease on this leaf?,Yes_Canker_disease,canker113
Can you tell if a disease might be affecting this leaf's health?,Yes_BlackSpot_disease,BlackSpot110
Does this leaf's state hint at the possibility of a disease?,Yes_Canker_disease,canker114
Could you identify if this leaf's issue stems from a disease?,Yes_Greening_disease,Greening99
"Is this leaf showing any signs of disease impact, according to you?",No_HealthyLeaf,H91
Can you tell if a disease is connected to the changes in this leaf's appearance?,Yes_BlackSpot_disease,BlackSpot111
Is there any indication of disease affecting the well-being of this leaf?,Yes_Canker_disease,canker115
"Could this leaf's altered condition be due to a disease, do you think?",Yes_Greening_disease,Greening100
"Is this leaf possibly dealing with disease-related issues, in your view?",No_HealthyLeaf,H92
Is the leaf showing signs that might suggest it's unwell because of disease?,Yes_Greening_disease,Greening101
Is there a chance of disease impacting this leaf's condition?,No_HealthyLeaf,H93
Could you determine if a disease is causing this leaf's change?,Yes_BlackSpot_disease,BlackSpot112
"Is this leaf facing any disease-related changes, in your view?",Yes_Canker_disease,canker116
Can you tell if a disease might be affecting this leaf's look?,Yes_Canker_disease,canker117
Is there any sign that this leaf's state is due to a disease?,Yes_Greening_disease,Greening102
Could this leaf's condition be connected to a disease?,Yes_Greening_disease,Greening103
What observations can be made about this disease?,HealthyLeaf,H94
Could this leaf's abnormality be due to a disease?,Yes_Greening_disease,Greening104
Could you identify if this leaf's issue is related to disease?,Yes_BlackSpot_disease,BlackSpot113
What observations can be made about this disease?,Greening_disease,Greening105
Is this leaf facing any signs that suggest a disease?,Yes_Canker_disease,canker118
Can you tell if a disease is influencing this leaf's health?,Yes_Greening_disease,Greening106
Is there any indication of disease affecting this leaf's look?,No_HealthyLeaf,H95
is there any disease on this leaf?,Yes_Greening_disease,Greening107
"Is this leaf showing signs of being affected by disease, in your opinion?",Yes_BlackSpot_disease,BlackSpot114
Can you identify if the leaf's health is impacted by a disease?,Yes_Greening_disease,Greening108
Can you find any symptoms that might be linked to disease on this leaf?,Yes_Canker_disease,canker119
Is there a chance that disease could be altering this leaf's appearance?,Yes_Greening_disease,Greening109
Could you determine if a disease is connected to this leaf's oddness?,No_HealthyLeaf,H96
Can you identify if the leaf's health is impacted by a disease?,Yes_Greening_disease,Greening110
Can you see if a disease might be responsible for this leaf's odd state?,Yes_BlackSpot_disease,BlackSpot115
What can be concluded about this disease?,Greening_disease,Greening111
How do you interpret the disease portrayed in this image?,Canker_disease,canker120
What likely disease is responsible for these appearances?,Greening_disease,Greening112
Is this leaf possibly unwell due to the presence of disease?,No_HealthyLeaf,H97
Can you see any signs of distress on this leaf because of a disease?,Yes_Greening_disease,Greening113
Is there a chance that disease is impacting this leaf's condition?,Yes_BlackSpot_disease,BlackSpot116
Can you confirm if this leaf is affected by disease or not?,Yes_Greening_disease,Greening114
Could this leaf's state be linked to the presence of disease?,Yes_Canker_disease,canker121
Can you identify if the leaf's health is impacted by a disease?,Yes_Greening_disease,Greening115
Is this leaf showing any indications of illness due to disease?,Yes_BlackSpot_disease,BlackSpot117
Can you determine if a disease might be affecting this leaf's state?,Yes_Greening_disease,Greening116
Is there any sign of disease affecting this leaf's appearance?,Yes_Greening_disease,Greening117
Could you find any symptoms of disease on this leaf's condition?,No_HealthyLeaf,H98
What observations can be made about this disease?,Greening_disease,Greening118
Can you tell if a disease is causing this leaf's change in appearance?,Yes_BlackSpot_disease,BlackSpot118
What observations can be made about this disease?,Greening_disease,Greening119
Is there any indication of disease impacting this leaf's health?,Yes_Canker_disease,canker122
Could this leaf's appearance be due to some disease?,Yes_Greening_disease,Greening120
Is this leaf showing signs that might suggest a disease?,No_HealthyLeaf,H99
Can you see any signs of distress on this leaf because of a disease?,Yes_Greening_disease,Greening121
Is there a possibility of disease affecting this leaf's state?,Yes_BlackSpot_disease,BlackSpot119
Is this leaf facing any disease-related issues?,Yes_Greening_disease,Greening122
Could you identify any signs that suggest a disease on this leaf?,Yes_Canker_disease,canker123
"Is this leaf facing any disease-related troubles, do you think?",Yes_Greening_disease,Greening123
Can you tell if a disease might be responsible for this leaf's issue?,No_HealthyLeaf,H100
Can you identify if the leaf's health is impacted by a disease?,Yes_Greening_disease,Greening124
"Could this leaf's appearance be related to a disease, in your opinion?",Yes_Canker_disease,canker124
Could this leaf's abnormality be due to a disease?,Yes_Greening_disease,Greening125
Is this leaf showing any indications of distress due to disease?,Yes_BlackSpot_disease,BlackSpot120
Can you find any hints of disease on this leaf?,Yes_Greening_disease,Greening126
Can you determine if a disease is connected to this leaf's oddness?,Yes_Canker_disease,canker125
Is there a chance that disease is impacting this leaf's health?,Yes_Greening_disease,Greening127
Could you confirm if there's any disease affecting this leaf?,Yes_Greening_disease,Greening128
What conclusions can be drawn regarding this disease?,HealthyLeaf,H101
What does the image indicate about the disease?,Greening_disease,Greening129
"Could this leaf's state be due to the presence of disease, as you can see?",Yes_BlackSpot_disease,BlackSpot121
Can you confirm if this leaf is affected by disease or not?,Yes_Greening_disease,Greening130
What conclusions can be drawn regarding this disease?,Canker_disease,canker126
What does the image indicate about the disease?,Greening_disease,Greening131
Can you find any symptoms that might be due to disease on this leaf?,Yes_BlackSpot_disease,BlackSpot122
Does this leaf's state suggest the presence of disease?,Yes_Greening_disease,Greening132
Is there a possibility of disease affecting this leaf's appearance?,Yes_Canker_disease,canker127
Could you tell if a disease is causing this leaf's unusual look?,Yes_Greening_disease,Greening133
"Is there any indication of disease impacting this leaf's state, do you think?",Yes_Greening_disease,Greening134
Could this leaf's issue be connected to the presence of disease?,No_HealthyLeaf,H102
Does this leaf's condition appear to be affected by a disease?,Yes_Greening_disease,Greening135
Is this leaf showing any signs that might suggest a disease?,No_HealthyLeaf,H103
Is this leaf facing any disease-related issues?,Yes_Greening_disease,Greening136
Is there any evidence of disease affecting this leaf,Yes_BlackSpot_disease,BlackSpot123
Can you observe any disease symptoms on this leaf in the picture?,Yes_Greening_disease,Greening137
Is the leaf's appearance indicating a disease?,No_HealthyLeaf,H104
Can you determine if this leaf is facing any disease-related issues?,Yes_Greening_disease,Greening138
Do you detect any changes on this leaf due to disease?,Yes_BlackSpot_disease,BlackSpot124
What does the image suggest about the disease's characteristics?,Greening_disease,Greening139
What can be inferred about this disease's identity from the visual?,BlackSpot_disease,BlackSpot125
What connections can be made between these observed attributes and a specific disease?,Greening_disease,Greening140
Could you determine if this leaf might be unwell due to a disease?,Yes_Canker_disease,canker128
Is this leaf showing signs of being affected by disease?,Yes_Greening_disease,Greening141
Can you find any hints of Canker disease on this leaf's appearance?,No_BlackSpot_disease,BlackSpot126
Does this leaf look different because of some disease?,Yes_Greening_disease,Greening142
Is there a possibility of Greening disease affecting this leaf's condition?,No_Canker_disease,canker129
What do these symptoms possibly suggest about the disease?,Greening_disease,Greening143
What can you infer about the disease from the image?,BlackSpot_disease,BlackSpot127
What disease might be responsible for these visual cues?,Greening_disease,Greening144
Is there any sign of illness on this leaf due to a disease?,Yes_Canker_disease,canker130
Could this leaf's problem be due to the presence of disease?,Yes_BlackSpot_disease,BlackSpot128
Is this leaf not well because of Melanose disease?,No_Greening_disease,Greening145
Can you determine if a disease is causing this leaf's odd appearance?,Yes_Canker_disease,canker131
Is there a chance that disease is impacting this leaf's well-being?,Yes_Greening_disease,Greening146
Could you identify any signs that suggest a disease on this leaf?,Yes_BlackSpot_disease,BlackSpot129
"Is this leaf possibly affected by disease, in your opinion?",Yes_Greening_disease,Greening147
Can you see if this leaf's issue could be linked to a disease?,Yes_Canker_disease,canker132
Is there any hint that disease might be affecting this leaf?,Yes_BlackSpot_disease,BlackSpot130
Could this leaf's state be related to the presence of disease?,Yes_Greening_disease,Greening148
Can you find out if this leaf's state is due to a disease?,Yes_Canker_disease,canker133
Is there a possibility of disease influencing this leaf's look?,Yes_Greening_disease,Greening149
Could you determine if this leaf might have caught a disease?,Yes_BlackSpot_disease,BlackSpot131
What likely disease is responsible for these appearances?,Greening_disease,Greening150
What disease is being indicated by this image?,Canker_disease,canker134
What can be inferred about this disease from the image?,Greening_disease,Greening151
Could this leaf's appearance be because of some disease?,Yes_BlackSpot_disease,BlackSpot132
"Is the leaf possibly dealing with disease, according to you?",Yes_Greening_disease,Greening152
Can you confirm if there's any disease affecting this leaf?,Yes_Canker_disease,canker135
Is there any indication of disease impacting this leaf's state?,Yes_Greening_disease,Greening153
"Is the leaf's appearance indicative of Greening, Canker, or Black Spot?",BlackSpot_disease,BlackSpot133
"Which disease's characteristics are visible on the leaf: Greening, Canker, or Black Spot?",Greening_disease,Greening154
"Is the leaf's condition more in line with Greening, Canker, or Black Spot?",Greening_disease,Greening155
"Is the observed leaf damage likely due to Greening, Canker, or Black Spot?",Canker_disease,canker136
"Does the leaf seem to be impacted by Greening, Canker, or Black Spot?",Greening_disease,Greening156
"What disease might be causing the visible symptoms on the leaf: Greening, Canker, or Black Spot?",BlackSpot_disease,BlackSpot134
Is the leaf's appearance suggestive of Greening or Canker disease?,Greening_disease,Greening157
Which disease's symptoms are more evident on the leaf: Greening or Canker?,Canker_disease,canker137
Is the leaf's appearance more aligned with Greening or Black Spot disease?,Greening_disease,Greening158
Which disease's features are more evident on the leaf: Greening or Black Spot?,BlackSpot_disease,BlackSpot135
Is the leaf displaying characteristics of Greening or Canker?,Greening_disease,Greening159
Is the observed leaf damage consistent with Greening or Canker?,Canker_disease,canker138
Is the observed leaf damage more consistent with Greening or Black Spot?,BlackSpot_disease,BlackSpot136
Does the leaf seem to be impacted more by Greening or Black Spot disease?,Greening_disease,Greening160
Is the leaf's state more in line with Greening or Canker?,Canker_disease,canker139
Is the leaf showing signs more of Greening or Canker?,Greening_disease,Greening161
Does the leaf seem to be impacted more by Greening or Black Spot disease?,BlackSpot_disease,BlackSpot137
Is the leaf's situation likely due more to Greening or Black Spot?,Greening_disease,Greening162
"Is the leaf's condition more in line with Greening, Canker, or Black Spot?",Canker_disease,canker140
"Is the observed leaf damage more likely due to Greening, Canker, or Black Spot?",BlackSpot_disease,BlackSpot138
"Does the leaf seem to be impacted more by Greening, Canker, or Black Spot?",Greening_disease,Greening163
Is the leaf's appearance predominantly indicative of Canker or Black Spot?,Canker_disease,canker141
Which disease's characteristics are more visible on the leaf: Greening or Black Spot?,Greening_disease,Greening164
Is the leaf's condition more in line with  Canker or Black Spot?,BlackSpot_disease,BlackSpot139
Is the observed leaf damage more likely due to Greening or Canker?,Greening_disease,Greening165
Does the leaf seem to be impacted more by  Canker or Black Spot?,Canker_disease,canker142
What disease might be predominantly causing the visible symptoms on the leaf: Greening or Black Spot?,Greening_disease,Greening166
Is the leaf's state more consistent with Greening or Black Spot?,BlackSpot_disease,BlackSpot140
Is the leaf showing signs more of Greening or Black Spot?,Greening_disease,Greening167
Is the observed leaf damage consistent with Greening or Canker?,Canker_disease,canker143
Does the leaf seem to be impacted more by Greening or Canker disease?,Greening_disease,Greening168
Is the leaf's situation more indicative of Greening or Black Spot?,BlackSpot_disease,BlackSpot141
Does the leaf seem to be impacted more by Greening or Canker disease?,Greening_disease,Greening169
Is the leaf's appearance more aligned with Greening or Black Spot disease?,Greening_disease,Greening170
Which disease's features are evident on the leaf: Greening or Black Spot?,BlackSpot_disease,BlackSpot142
Is the observed leaf damage more consistent with Greening or Black Spot?,Greening_disease,Greening171
Is the leaf's appearance more suggestive of Greening or Canker disease?,Canker_disease,canker144
Which disease's symptoms are evident on the leaf: Greening or Canker?,Greening_disease,Greening172
Is the leaf's appearance more aligned with Greening or Black Spot disease?,BlackSpot_disease,BlackSpot142
Which disease's features are evident on the leaf: Greening or Black Spot?,Greening_disease,Greening173
Is the observed leaf damage more consistent with Canker or Black Spot?,Canker_disease,canker145
Does the leaf seem to be impacted by Greening or Black Spot disease?,Greening_disease,Greening174
Is the leaf's situation likely due to Greening or Black Spot?,BlackSpot_disease,BlackSpot143
Is the leaf likely suffering from Greening or Black Spot?,Greening_disease,Greening175
Is the leaf's appearance more suggestive of Greening or Canker?,Canker_disease,canker146
Is the leaf showing signs of Canker or Greening?,Greening_disease,Greening176
Is the observed leaf damage more consistent with Canker or Black Spot?,BlackSpot_disease,BlackSpot144
Is the leaf showing signs of Canker or Greening?,Greening_disease,Greening177
What disease could be causing the visible symptoms on the leaf: Canker or Black Spot?,Canker_disease,canker147
Is the leaf's situation more consistent with Canker or Greening?,Greening_disease,Greening178
Does the leaf seem to be impacted by Canker or Black Spot disease?,BlackSpot_disease,BlackSpot145
Is the leaf likely impacted by Canker or Greening disease?,Greening_disease,Greening179
Is the leaf's appearance suggestive of Canker or Black Spot?,Canker_disease,canker148
Is the leaf showing signs of Canker or Greening?,Greening_disease,Greening180
"Based on the leaf's condition, is it more likely to have Canker or Black Spot?",BlackSpot_disease,BlackSpot146
Is the leaf exhibiting signs of Canker or Greening disease?,Greening_disease,Greening181
Is the leaf's situation in line with the characteristics of Canker or Black Spot?,Canker_disease,canker149
Is the leaf likely impacted by Canker or Greening disease?,Greening_disease,Greening182
Is the leaf likely suffering from Canker or Black Spot?,BlackSpot_disease,BlackSpot147
Is the leaf's situation more consistent with Canker or Greening?,Greening_disease,Greening183
Does the leaf show indications of Canker or Black Spot?,Canker_disease,canker150
Is the leaf showing signs of Greening or Black Spot?,Greening_disease,Greening184
Does the leaf's appearance resemble characteristics of Greening or Black Spot disease?,BlackSpot_disease,BlackSpot148
Is the leaf's state consistent with the characteristics of Greening or Black Spot?,Greening_disease,Greening185
Is the leaf showing signs of Canker or Greening?,Canker_disease,canker151
Is the leaf's appearance more indicative of Greening or Black Spot?,Greening_disease,Greening186
Which disease's features are evident on the leaf: Greening or Black Spot?,BlackSpot_disease,BlackSpot149
Is the leaf likely suffering from Greening or Black Spot?,Greening_disease,Greening187
"Based on the leaf's condition, is it more likely to have Canker or Greening?",Canker_disease,canker152
Is the leaf's situation likely due to Greening or Black Spot?,Greening_disease,Greening188
Is the leaf likely suffering from Greening or Black Spot?,BlackSpot_disease,BlackSpot150
Is the observed leaf damage suggestive of Greening or Black Spot?,Greening_disease,Greening189
Which disease's symptoms are visible on the leaf: Canker or Greening?,Canker_disease,canker153
Is the leaf's condition more in line with Greening or Black Spot?,Greening_disease,Greening190
Which disease's features are evident on the leaf: Greening or Black Spot?,BlackSpot_disease,BlackSpot151
Which disease's features are evident on the leaf: Greening or Black Spot?,Greening_disease,Greening191
Is the leaf's situation more consistent with Canker or Greening?,Canker_disease,canker154
What disease might be causing the visible symptoms on the leaf: Canker or Greening?,Greening_disease,Greening192
Does the leaf's appearance resemble characteristics of Greening or Black Spot disease?,BlackSpot_disease,BlackSpot152
Does the leaf's appearance resemble characteristics of Greening or Black Spot disease?,Greening_disease,Greening193
What disease might be causing the visible symptoms on the leaf: Canker or Greening?,Canker_disease,canker155
Does the leaf's appearance resemble characteristics of Greening or Black Spot disease?,Greening_disease,Greening194
